POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
40;34;Oak Racing;Christopher CUMMING;Laurens VANTHOOR;Kevin ESTRE;;Ligier JS P2 - HPD;D;LMP2;;;Retired;329;22:27'06.233;66 Laps;-87 Laps;187;3'38.251;224.8;
41;53;Riley Motorsports-TI Auto;Jeroen BLEEKEMOLEN;Ben KEATING;Marc MILLER;;Srt VIPER GTS-R;M;LMGTE Am;;;Retired;304;22:32'18.766;91 Laps;25 Laps;227;3'55.896;208.0;
42;42;Strakka Racing;Nick LEVENTIS;Danny WATTS;Jonny KANE;;Dome S103 - Nissan;D;LMP2;;;Retired;264;18:22'05.713;131 Laps;40 Laps;258;3'41.304;221.7;
43;55;AF Corse;Duncan CAMERON;Matt GRIFFIN;Alexander MORTIMER;;Ferrari 458 Italia;M;LMGTE Am;;;Retired;241;17:54'16.193;154 Laps;23 Laps;197;3'57.712;206.4;
44;23;Nissan Motorsports;Olivier PLA;Jann MARDENBOROUGH;Max CHILTON;;Nissan GT-R LM Nismo;M;LMP1;H;;Retired;234;22:35'43.776;161 Laps;7 Laps;183;3'36.525;226.6;
45;46;Thiriet By Tds Racing;Pierre THIRIET;Ludovic BADEY;Tristan GOMMENDY;;Oreca 05 - Nissan;D;LMP2;;;Retired;204;14:09'28.655;191 Laps;30 Laps;152;3'39.575;223.5;
46;96;Aston Martin Racing;Roald GOETHE;Stuart HALL;Francesco CASTELLACCI;;Aston Martin Vantage V8;M;LMGTE Am;;;Retired;187;16:34'45.158;208 Laps;17 Laps;177;3'57.477;206.6;
47;43;Team Sard Morand;Pierre RAGUES;Oliver WEBB;Zoel AMBERG;;Morgan Evo - SARD;D;LMP2;;;Retired;162;11:18'33.066;233 Laps;25 Laps;79;3'41.725;221.3;
48;21;Nissan Motorsports;Tsugio MATSUDA;Mark SHULZHITSKIY;Lucas ORDOÑEZ;;Nissan GT-R LM Nismo;M;LMP1;H;;Retired;115;9:39'49.668;280 Laps;47 Laps;104;3'37.863;225.2;
49;36;Signatech Alpine;Nelson PANCIATICI;Paul Loup CHATIN;Vincent CAPILLAIRE;;Alpine A450b - Nissan;D;LMP2;;;Retired;110;7:37'24.130;285 Laps;5 Laps;54;3'40.324;222.7;
50;97;Aston Martin Racing;Darren TURNER;Stefan MÜCKE;Rob BELL;;Aston Martin Vantage V8;M;LMGTE Pro;;;Retired;110;8:10'32.150;285 Laps;33'08.020;53;3'56.026;207.9;
51;50;Larbre Competition;Gianluca RODA;Paolo RUBERTI;Kristian POULSEN;;Chevrolet Corvette C7R;M;LMGTE Am;;;Retired;94;7:40'52.571;301 Laps;16 Laps;74;3'58.640;205.6;
52;41;Greaves Motorsport;Gary HIRSCH;Gaëtan PALETOU;Jon LANCASTER;;Gibson 015S - Nissan;D;LMP2;;;Retired;71;5:04'48.580;324 Laps;23 Laps;53;3'40.834;222.2;
53;88;Abu Dhabi-Proton Racing;Christian RIED;Khaled AL QUBAISI;Klaus BACHLER;;Porsche 911 RSR;M;LMGTE Am;;;Retired;44;3:21'48.282;351 Laps;27 Laps;25;3'59.008;205.3;
54;92;Porsche Team Manthey;Patrick PILET;Frédéric MAKOWIECKI;Wolf HENZLER;;Porsche 911 RSR;M;LMGTE Pro;;;Retired;14;57'54.087;381 Laps;30 Laps;11;3'58.639;205.6;
55;4;Team Bykolles;Simon TRUMMER;Pierre KAFFER;Tiago MONTEIRO;;CLM P1/01 - AER;M;LMP1;;;Excluded;260;24:01'11.832;135 Laps;-246 Laps;230;3'33.560;229.7;
