NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;1:59.796;0;;33.676;0;55.932;0;30.188;0;210.5;1:59.796;14:33:24.610;0:33.676;0:55.932;0:30.188;301.9;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;2;1:58.595;0;;33.164;0;55.495;3;29.936;0;212.6;3:58.391;14:35:23.205;0:33.164;0:55.495;0:29.936;280.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;3;1:58.431;3;;33.150;0;55.515;0;29.766;3;212.9;5:56.822;14:37:21.636;0:33.150;0:55.515;0:29.766;281.9;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;4;1:59.150;0;;33.209;0;55.692;0;30.249;0;211.6;7:55.972;14:39:20.786;0:33.209;0:55.692;0:30.249;283.6;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;5;1:59.506;0;;33.101;0;56.104;0;30.301;0;211.0;9:55.478;14:41:20.292;0:33.101;0:56.104;0:30.301;287.1;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;6;2:01.829;0;;33.199;0;56.549;0;32.081;0;207.0;11:57.307;14:43:22.121;0:33.199;0:56.549;0:32.081;287.1;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;7;2:02.903;0;;34.371;0;58.358;0;30.174;0;205.2;14:00.210;14:45:25.024;0:34.371;0:58.358;0:30.174;292.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;8;1:59.688;0;;33.125;0;56.191;0;30.372;0;210.7;15:59.898;14:47:24.712;0:33.125;0:56.191;0:30.372;296.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;9;2:00.127;0;;33.232;0;56.527;0;30.368;0;209.9;18:00.025;14:49:24.839;0:33.232;0:56.527;0:30.368;290.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;10;2:00.903;0;;33.299;0;56.609;0;30.995;0;208.5;20:00.928;14:51:25.742;0:33.299;0:56.609;0:30.995;300.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;11;2:00.885;0;;33.173;0;56.955;0;30.757;0;208.6;22:01.813;14:53:26.627;0:33.173;0:56.955;0:30.757;290.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;12;2:01.241;0;;33.418;0;57.118;0;30.705;0;208.0;24:03.054;14:55:27.868;0:33.418;0:57.118;0:30.705;292.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
