POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
1;2;Porsche Team;Romain DUMAS;Neel JANI;Marc LIEB;;Porsche 919 Hybrid;M;LMP1;H;;Classified;384;24:00'38.449;;;92;3'21.756;243.2;
2;6;Toyota Gazoo Racing;Stéphane SARRAZIN;Mike CONWAY;Kamui KOBAYASHI;;Toyota TS050 - Hybrid;M;LMP1;H;;Classified;381;24:03'32.958;3 Laps;3 Laps;81;3'21.445;243.6;
3;8;Audi Sport Team Joest;Lucas DI GRASSI;Loïc DUVAL;Oliver JARVIS;;Audi R18;M;LMP1;H;;Classified;372;24:03'30.210;12 Laps;9 Laps;358;3'22.206;242.6;
4;7;Audi Sport Team Joest;Marcel FÄSSLER;André LOTTERER;Benoît TRÉLUYER;;Audi R18;M;LMP1;H;;Classified;367;24:02'28.842;17 Laps;5 Laps;211;3'23.043;241.6;
5;36;Signatech Alpine;Gustavo MENEZES;Nicolas LAPIERRE;Stéphane RICHELMI;;Alpine A460 - Nissan;D;LMP2;;LMP2;Classified;357;24:00'39.911;27 Laps;10 Laps;117;3'37.195;225.9;
6;26;G-Drive Racing;Roman RUSINOV;Will STEVENS;René RAST;;Oreca 05 - Nissan;D;LMP2;;LMP2;Classified;357;24:03'20.551;27 Laps;2'40.640;345;3'36.558;226.6;
7;37;SMP Racing;Vitaly PETROV;Victor SHAITAR;Kirill LADYGIN;;BR01 - Nissan;D;LMP2;;LMP2;Classified;353;24:03'16.118;31 Laps;4 Laps;297;3'40.065;223.0;
8;42;Strakka Racing;Nick LEVENTIS;Danny WATTS;Jonny KANE;;Gibson 015S - Nissan;D;LMP2;;LMP2;Classified;351;24:01'54.016;33 Laps;2 Laps;265;3'38.795;224.2;
9;33;Eurasia Motorsport;Junjin PU;Tristan GOMMENDY;Nico Pieter DE BRUIJN;;Oreca 05 - Nissan;D;LMP2;;LMP2;Classified;348;24:03'02.532;36 Laps;3 Laps;251;3'38.605;224.4;
10;41;Greaves Motorsport;Memo ROJAS;Julien CANAL;Nathanaël BERTHON;;Ligier JS P2 - Nissan;D;LMP2;;LMP2;Classified;348;24:03'55.150;36 Laps;52.618;198;3'41.806;221.2;
11;27;SMP Racing;Nicolas MINASSIAN;Maurizio MEDIANI;Mikhail ALESHIN;;BR01 - Nissan;D;LMP2;;LMP2;Classified;347;24:01'29.276;37 Laps;1 Laps;315;3'39.445;223.6;
