63 ,60 ,- 30 - ,59 ,40
22 ,58 ,- 29 - ,57 ,30
28 ,56 ,- 28 - ,55 ,27
4 ,54 ,- 27 - ,53 ,99
57 ,52 ,- 26 - ,51 ,86
89 ,50 ,- 25 - ,49 ,62
78 ,48 ,- 24 - ,47 ,60
50 ,46 ,- 23 - ,45 ,83
55 ,44 ,- 22 - ,43 ,88
98 ,42 ,- 21 - ,41 ,61
64 ,40 ,- 20 - ,39 ,77
97 ,38 ,- 19 - ,37 ,91
95 ,36 ,- 18 - ,35 ,92
82 ,34 ,- 17 - ,33 ,71
66 ,32 ,- 16 - ,31 ,67
51 ,30 ,- 15 - ,29 ,69
68 ,28 ,- 14 - ,27 ,84
34 ,26 ,- 13 - ,25 ,48
41 ,24 ,- 12 - ,23 ,25
37 ,22 ,- 11 - ,21 ,43
38 ,20 ,- 10 - ,19 ,33
23 ,18 ,- 9 - ,17 ,47
42 ,16 ,- 8 - ,15 ,46
31 ,14 ,- 7 - ,13 ,49
44 ,12 ,- 6 - ,11 ,36
35 ,10 ,- 5 - ,9 ,26
12 ,8 ,- 4 - ,7 ,13
8 ,6 ,- 3 - ,5 ,7
5 ,4 ,- 2 - ,3 ,6
1 ,2 ,- 1 - ,1 ,2
